file_name,image_name,ocr_model_name,line_mode,class_threshold,k_factor,bbox_tolerance,merge_lines,tps_threshold,success,num_lines_detected,processing_time,quality_score,total_tokens,valid_tokens,invalid_tokens,ocr_text_hash,error
uchen high quality pdf,uchen high quality pdf - page 2,Woodblock,line,0.7,2.5,4.0,True,0.5,True,14,8.849003076553345,45.95,37,17,20,ed5a5669e1c5c9fe,
uchen high quality pdf,uchen high quality pdf - page 2,Woodblock,line,0.7,2.5,5.0,True,0.5,True,14,8.035906791687012,32.56,43,14,29,1ca1360b7fe7fd86,
uchen high quality pdf,uchen high quality pdf - page 2,Woodblock,line,0.7,3.0,2.5,True,0.5,True,14,7.532016277313232,28.26,46,13,33,335227bb084876f6,
uchen high quality pdf,uchen high quality pdf - page 2,Woodblock,line,0.7,3.0,3.5,True,0.5,True,14,7.219359636306763,13.79,29,4,25,1838f26aef4bb60f,
uchen high quality pdf,uchen high quality pdf - page 2,Woodblock,line,0.7,3.0,4.0,True,0.5,True,14,7.526025056838989,38.89,36,14,22,b8c83568a5d58fe2,
uchen high quality pdf,uchen high quality pdf - page 2,Woodblock,line,0.7,3.0,5.0,True,0.5,True,14,8.243609189987183,32.56,43,14,29,1ca1360b7fe7fd86,
uchen high quality pdf,uchen high quality pdf - page 2,Woodblock-Stacks,line,0.7,2.0,2.5,True,0.5,True,14,9.908653974533081,37.84,37,14,23,1b1e2ab1b6137b15,
uchen high quality pdf,uchen high quality pdf - page 2,Woodblock-Stacks,line,0.7,2.0,3.5,True,0.5,True,14,9.260900974273682,55.56,9,5,4,086489483bfb46d6,
uchen high quality pdf,uchen high quality pdf - page 2,Woodblock-Stacks,line,0.7,2.0,4.0,True,0.5,True,14,9.113766193389893,33.33,6,2,4,4839939fdc2cb3ba,
uchen high quality pdf,uchen high quality pdf - page 2,Woodblock-Stacks,line,0.7,2.0,5.0,True,0.5,True,14,9.879590511322021,57.14,7,4,3,50628fde1b6a2b4f,
uchen high quality pdf,uchen high quality pdf - page 2,Woodblock-Stacks,line,0.7,2.5,2.5,True,0.5,True,14,10.054861545562744,38.89,36,14,22,8965f7f3a47dfa6d,
uchen high quality pdf,uchen high quality pdf - page 2,Woodblock-Stacks,line,0.7,2.5,3.5,True,0.5,True,14,10.071632862091064,55.56,9,5,4,086489483bfb46d6,
uchen high quality pdf,uchen high quality pdf - page 2,Woodblock-Stacks,line,0.7,2.5,4.0,True,0.5,True,14,9.363553762435913,33.33,6,2,4,4839939fdc2cb3ba,
uchen high quality pdf,uchen high quality pdf - page 2,Woodblock-Stacks,line,0.7,2.5,5.0,True,0.5,True,14,9.149516105651855,42.86,7,3,4,7ddf20624b40f9a3,
uchen high quality pdf,uchen high quality pdf - page 2,Woodblock-Stacks,line,0.7,3.0,2.5,True,0.5,True,14,10.529064416885376,37.14,35,13,22,136a9e56e870e391,
uchen high quality pdf,uchen high quality pdf - page 2,Woodblock-Stacks,line,0.7,3.0,3.5,True,0.5,True,14,10.998579740524292,50.0,8,4,4,7d27e987b548e5fd,
uchen high quality pdf,uchen high quality pdf - page 2,Woodblock-Stacks,line,0.7,3.0,4.0,True,0.5,True,14,9.391225337982178,20.0,5,1,4,515672c39c63d416,
uchen high quality pdf,uchen high quality pdf - page 2,Woodblock-Stacks,line,0.7,3.0,5.0,True,0.5,True,14,9.002400636672974,42.86,7,3,4,7ddf20624b40f9a3,
uchen high quality pdf,uchen high quality pdf - page 2,Modern,line,0.7,2.0,2.5,True,0.5,True,14,7.522320032119751,45.45,55,25,30,ad7fb9314931669c,
uchen high quality pdf,uchen high quality pdf - page 2,Modern,line,0.7,2.0,3.5,True,0.5,True,14,7.481533765792847,63.83,47,30,17,2fcd29fade7d60a9,
uchen high quality pdf,uchen high quality pdf - page 2,Modern,line,0.7,2.0,4.0,True,0.5,True,14,7.504913091659546,50.0,48,24,24,ee70e8c1149b7a04,
uchen high quality pdf,uchen high quality pdf - page 2,Modern,line,0.7,2.0,5.0,True,0.5,True,14,7.525731563568115,53.66,41,22,19,1713246b0ba3ef68,
uchen high quality pdf,uchen high quality pdf - page 2,Modern,line,0.7,2.5,2.5,True,0.5,True,14,7.866575241088867,44.23,52,23,29,3f33c0a02672d422,
uchen high quality pdf,uchen high quality pdf - page 2,Modern,line,0.7,2.5,3.5,True,0.5,True,14,7.860428094863892,63.83,47,30,17,2fcd29fade7d60a9,
uchen high quality pdf,uchen high quality pdf - page 2,Modern,line,0.7,2.5,4.0,True,0.5,True,14,9.969593286514282,50.0,48,24,24,ee70e8c1149b7a04,
